iter	Passed	Remaining
0	1	129
1	2	111
2	3	101
3	4	108
4	5	113
5	7	110
6	8	107
7	9	109
8	10	106
9	11	106
10	13	106
11	14	104
12	15	103
13	16	101
14	17	99
15	18	98
16	20	98
17	21	96
18	22	95
19	23	95
20	24	94
21	26	92
22	27	91
23	28	89
24	29	88
25	30	87
26	31	85
27	32	84
28	33	82
29	34	81
30	35	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	47	66
42	49	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	33
71	82	31
72	83	30
73	84	29
74	85	28
75	87	27
76	88	26
77	89	25
78	90	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	102	12
89	104	11
90	105	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
