iter	Passed	Remaining
0	139	139747
1	141	70368
2	141	47151
3	142	35531
4	143	28565
5	144	23904
6	144	20568
7	145	18069
8	146	16122
9	147	14564
10	147	13288
11	148	12228
12	149	11330
13	150	10568
14	150	9907
15	151	9326
16	152	8818
17	154	8428
18	155	8026
19	156	7658
20	157	7324
21	157	7021
22	158	6744
23	159	6491
24	160	6258
25	161	6043
26	162	5844
27	163	5665
28	164	5496
29	165	5336
30	165	5187
31	167	5062
32	169	4970
33	170	4848
34	171	4729
35	172	4617
36	173	4512
37	174	4412
38	175	4318
39	176	4227
40	177	4141
41	178	4062
42	179	3985
43	180	3915
44	181	3846
45	182	3780
46	184	3737
47	185	3675
48	186	3617
49	187	3559
50	188	3505
51	189	3452
52	190	3401
53	191	3354
54	192	3307
55	193	3263
56	194	3220
57	195	3178
58	196	3137
59	198	3113
60	199	3075
61	200	3038
62	201	3003
63	202	2967
64	203	2932
65	204	2900
66	205	2868
67	207	2837
68	208	2808
69	209	2782
70	210	2758
71	212	2739
72	214	2722
73	216	2704
74	217	2684
75	219	2664
76	220	2644
77	221	2623
78	223	2604
79	225	2588
80	227	2582
81	229	2564
82	229	2538
83	230	2518
84	232	2500
85	233	2482
86	235	2470
87	237	2458
88	239	2447
89	240	2431
90	242	2424
91	243	2407
92	245	2390
93	246	2372
94	247	2355
95	248	2340
96	249	2324
97	251	2313
98	252	2297
99	253	2282
100	254	2267
101	255	2252
102	258	2247
103	259	2233
104	260	2218
105	261	2204
106	262	2190
107	264	2180
108	265	2169
109	267	2160
110	268	2150
111	270	2142
112	273	2147
113	275	2138
114	276	2129
115	279	2126
116	280	2118
117	282	2110
118	284	2106
119	287	2108
120	289	2102
121	290	2089
122	291	2079
123	292	2069
124	294	2058
125	295	2049
126	296	2037
127	297	2027
128	298	2017
129	300	2008
130	301	1999
131	303	1998
132	306	1995
133	307	1986
134	308	1977
135	309	1968
136	311	1960
137	312	1951
138	313	1943
139	314	1934
140	316	1926
141	317	1920
142	319	1915
143	320	1907
144	322	1898
145	323	1890
146	324	1883
147	325	1875
148	326	1867
149	328	1860
150	329	1852
151	330	1844
152	331	1837
153	334	1836
154	335	1829
155	336	1823
156	338	1816
157	339	1808
158	340	1801
159	341	1794
160	342	1785
161	343	1779
162	345	1772
163	346	1765
164	348	1764
165	350	1759
166	351	1752
167	352	1746
168	353	1739
169	355	1733
170	356	1727
171	357	1721
172	358	1715
173	360	1709
174	361	1703
175	364	1705
176	366	1701
177	367	1697
178	369	1693
179	371	1690
180	372	1687
181	374	1685
182	376	1682
183	379	1682
184	380	1678
185	382	1673
186	384	1670
187	385	1666
188	387	1663
189	389	1659
190	391	1656
191	393	1658
192	396	1655
193	397	1653
194	401	1656
195	402	1651
196	404	1647
197	410	1664
198	415	1672
199	417	1668
200	418	1663
201	420	1660
202	422	1657
203	425	1658
204	426	1654
205	428	1650
206	429	1646
207	431	1642
208	433	1639
209	434	1636
210	436	1632
211	439	1632
212	441	1629
213	442	1626
214	444	1622
215	446	1620
216	447	1616
217	449	1611
218	450	1607
219	452	1602
220	455	1604
221	456	1600
222	458	1598
223	460	1594
224	461	1589
225	462	1585
226	464	1580
227	465	1575
228	466	1571
229	469	1572
230	471	1569
231	473	1566
232	474	1562
233	476	1558
234	477	1554
235	478	1549
236	480	1545
237	481	1541
238	482	1536
239	485	1537
240	487	1536
241	489	1533
242	491	1529
243	492	1525
244	493	1521
245	495	1518
246	496	1515
247	500	1516
248	501	1513
249	503	1511
250	505	1507
251	506	1503
252	507	1499
253	509	1495
254	510	1491
255	511	1487
256	514	1487
257	516	1484
258	517	1481
259	519	1478
260	520	1475
261	522	1471
262	523	1467
263	525	1464
264	526	1460
265	529	1460
266	531	1459
267	533	1456
268	534	1453
269	537	1452
270	538	1448
271	540	1445
272	541	1442
273	544	1442
274	546	1439
275	547	1436
276	549	1433
277	550	1429
278	551	1425
279	553	1422
280	554	1418
281	555	1414
282	556	1411
283	559	1410
284	561	1408
285	562	1405
286	564	1401
287	565	1398
288	566	1394
289	568	1391
290	569	1387
291	570	1383
292	572	1380
293	574	1380
294	576	1377
295	577	1373
296	578	1370
297	580	1366
298	581	1363
299	582	1359
300	584	1356
301	585	1352
302	586	1349
303	588	1346
304	590	1345
305	591	1342
306	593	1338
307	594	1335
308	596	1332
309	597	1329
310	598	1326
311	600	1323
312	601	1319
313	604	1319
314	605	1317
315	606	1313
316	608	1310
317	609	1307
318	610	1303
319	611	1300
320	613	1297
321	615	1295
322	616	1292
323	618	1289
324	619	1286
325	620	1283
326	622	1280
327	623	1277
328	624	1274
329	626	1270
330	627	1268
331	631	1269
332	632	1266
333	633	1263
334	635	1261
335	637	1258
336	638	1256
337	640	1253
338	641	1251
339	645	1252
340	647	1251
341	649	1249
342	651	1248
343	653	1246
344	655	1244
345	657	1243
346	660	1242
347	661	1239
348	663	1237
349	664	1234
350	665	1231
351	667	1228
352	668	1225
353	669	1222
354	671	1219
355	672	1217
356	676	1218
357	678	1215
358	679	1213
359	681	1210
360	682	1208
361	684	1206
362	686	1203
363	687	1202
364	691	1203
365	693	1201
366	694	1198
367	696	1195
368	698	1193
369	700	1192
370	701	1189
371	703	1187
372	706	1188
373	709	1187
374	711	1185
375	712	1183
376	714	1180
377	715	1177
378	717	1175
379	722	1178
380	724	1177
381	726	1176
382	728	1174
383	730	1171
384	732	1170
385	736	1172
386	742	1176
387	744	1174
388	748	1176
389	752	1176
390	755	1177
391	758	1176
392	761	1176
393	763	1174
394	765	1172
395	770	1174
396	771	1171
397	773	1169
398	775	1167
399	777	1165
400	778	1163
401	780	1161
402	785	1164
403	790	1165
404	794	1167
405	800	1170
406	803	1171
407	805	1169
408	807	1166
409	809	1165
410	812	1164
411	815	1164
412	818	1162
413	819	1160
414	821	1157
415	822	1154
416	824	1152
417	826	1150
418	830	1150
419	831	1148
420	838	1152
421	840	1150
422	841	1147
423	846	1150
424	848	1148
425	853	1150
426	855	1147
427	862	1152
428	866	1152
429	869	1152
430	876	1157
431	881	1158
432	884	1158
433	890	1161
434	897	1165
435	899	1163
436	902	1162
437	908	1165
438	911	1164
439	913	1162
440	916	1161
441	919	1160
442	924	1162
443	926	1160
444	928	1158
445	932	1158
446	940	1163
447	943	1162
448	946	1161
449	948	1159
450	956	1164
451	961	1165
452	968	1168
453	971	1168
454	975	1168
455	984	1174
456	989	1175
457	991	1173
458	994	1171
459	996	1169
460	1000	1170
461	1002	1167
462	1004	1165
463	1006	1162
464	1009	1161
465	1011	1158
466	1017	1161
467	1020	1159
468	1023	1158
469	1024	1155
470	1026	1153
471	1031	1154
472	1035	1153
473	1037	1151
474	1038	1148
475	1040	1145
476	1041	1142
477	1045	1141
